page_id,title,actual,predicted,correct
ff49798f-4c61-4c8a-a79a-962c4da13c97,"[IT] Device Trust (인증, 등록) 가이드",업무 지원,업무 지원,True
fe64ba80-6af6-4dbb-87a3-3844b7cf2537,동기부여 1 on 1 미팅 Tips,리더십,리더십,True
fc6dee10-649d-4b2f-9e5c-9fb2b8c2c5fe,퀵서비스 사용 안내,업무 지원,업무 지원,True
f33cc45e-3467-43dd-9dd2-4a64770385fc,리크루팅 식사 비용 지원,채용,채용,True
e4207a04-b5cd-4353-8705-91e797846587,"사원증(카드, 모바일) 사용 안내",업무 지원,업무 지원,True
e037dcd8-e54f-47af-bbfa-b344b661caa4,사내 도서관/ 도서 지원 안내,업무 지원,업무 지원,True
dc2b82d0-db10-400c-9778-d0c6df883d24,"외부인원 가이드(출입, 주차지원)",업무 지원,오피스,False
d7486307-4bf2-4490-955e-d2ce83ebf07d,flex Mate (사내추천),채용,채용,True
d6212ed5-1d1d-4eb3-82b2-d50d13578534,그라운드 피트니스 (운동) 지원 안내,생활 지원,생활 지원,True
d1cd5462-4ad6-4150-94b3-0ba6637fc970,회식 문화,문화/ 팀빌딩,문화/ 팀빌딩,True
d0bf3f41-d469-4bbb-bfd5-ced096044af6,구글 이메일 서명 등록 가이드,업무 지원,업무 지원,True
cf88b1a9-b359-42fc-b57c-b5b23c232c10,프로필 설정 안내,업무 지원,협업 방식,False
ce79fba0-6d31-4e6b-8a80-1c93b03b8bbd,7F 냉장고 운영안내,오피스,오피스,True
c994ba06-4459-402a-85d3-6b9cdcc973d7,Health Check,문화/ 팀빌딩,문화/ 팀빌딩,True
c965905a-015c-4135-b792-c2a8fef0d629,비용 원칙,원칙/ 철학,원칙/ 철학,True
c619ae6a-cf5e-4d5d-8fd5-9beca8b8fca7,flex Story Session,문화/ 팀빌딩,문화/ 팀빌딩,True
c18cd85b-3537-4558-9d56-54f708a6211d,6세 이하 자녀 비과세 신청,생활 지원,생활 지원,True
ba4a7519-8d99-4168-9da4-527511e19f55,출장 지원,업무 지원,업무 지원,True
b2a3dd6b-52ef-4f0e-a4f9-2eb6faa13136,근무/휴게시간,근무 제도,근무 제도,True
ac3bf286-1750-4315-978d-eae94204e289,건강보험 피부양자 추가 등록,생활 지원,생활 지원,True
a974b73e-3c9c-42cf-a558-efcb7883f618,8층 공간 이용 안내,오피스,오피스,True
a5105411-34e3-4090-82f6-dd94437d8256,"[IT] 개인정보파일 처리방법 (암호화, 예외처리)",업무 지원,구성원을 위한 개인정보 처리방침,False
a232ac39-11df-45ea-9613-5f4d4c7c559a,사내 오프라인 Sig 모임 지원,문화/ 팀빌딩,문화/ 팀빌딩,True
a17755b1-50b4-4ae0-96bd-007d249d6e61,"업무용 소모품 신청 방법(IT, 사무일반)",업무 지원,업무 지원,True
9feaa6c3-67ff-48eb-aa7a-38cfeb0aace2,플렉스팀용 개인정보 처리방침,구성원을 위한 개인정보 처리방침,구성원을 위한 개인정보 처리방침,True
9f102f85-eaeb-404a-8521-9f75e30cbe80,명함신청 안내,업무 지원,업무 지원,True
9e0d6800-4f45-4789-a291-3080a44f767f,수평 커뮤니케이션,협업 방식,협업 방식,True
9df5a2d1-b7c9-45e7-8fe4-39f59fbb90fd,구성원의 성과 향상을 돕는 프로그램 안내,성과/성장,성과/성장,True
9b5903dc-b33e-4001-bc06-60035af26b9c,회의실 사용 가이드,오피스,오피스,True
994a897c-e55a-4092-b5a3-9d961be8d3a2,휴가,근무 제도,근무 제도,True
96ba5ecf-fc38-403c-9bb6-89452a13be71,구성원 주차 지원 안내,생활 지원,업무 지원,False
96972f03-2173-475c-822f-c82a8b8c533c,"Product , 세션,",온보딩,온보딩,True
95c7303c-6f7b-4a35-a1f5-34cdb69e43e5,flex Team 월간 운영 비용 공유,업무 지원,원칙/ 철학,False
8e2af535-360d-4a64-a010-d964ba12cb0e,Recruiting Process (채용 프로세스),채용,채용,True
8c727fbd-c31e-4890-b08c-ed898269aea4,해피밀,문화/ 팀빌딩,문화/ 팀빌딩,True
8bc8b128-1400-43c6-b817-5390700c4c0f,복합기 등록/이용 안내,업무 지원,업무 지원,True
889b4b61-95ff-4e72-bb79-874c60782b31,오피스 맵 소개,오피스,오피스,True
880d0b88-5fba-4ff0-a1be-a801ff9d4437,법인차량 이용 안내,업무 지원,업무 지원,True
86ea8b52-1c5a-4452-ab2e-31954e36e33a,5W Onboarding Feedback Survey,온보딩,온보딩,True
81dc7725-f11f-4e7e-8e2a-16ab692b039e,출퇴근 교통비 지원 안내,생활 지원,근무 제도,False
728b0e28-c86c-49f9-8905-3efe4a25b43d,flex lounge 이용 안내,오피스,오피스,True
70f851d1-30d0-4ecf-a647-99f8c97b2806,외근/야근 교통비(택시) 지원,업무 지원,업무 지원,True
689c2a83-1ecf-481c-9744-9600f8cd2b06,VPN (Forticlient) 사용 방법,업무 지원,업무 지원,True
64092ce4-3947-4ec9-82f6-cf88051f40c2,취업 규칙,원칙/ 철학,ERROR,False
5e0c5898-cc5b-42f2-a20f-60cb14722af7,생일 지원,생활 지원,생활 지원,True
5de7c501-a37a-49f0-84fd-06f18cf67dac,Alignment,협업 방식,협업 방식,True
5cd30f43-efc0-4de9-a17b-27bf65ff3a66,추천 도서,리더십,성과/성장,False
5ca5100b-4a84-4c84-8eab-e3d2ef9dd976,너나들이,문화/ 팀빌딩,ERROR,False
5aa20df1-3c70-44dd-84ba-c003a2a0d9d0,경조물품지원,생활 지원,생활 지원,True
544cac6c-5139-46a9-946d-a445bf2042f0,"[IT] 업무자산(PC, 모니터) 손, 망실 처리",업무 지원,ERROR,False
540c96b1-3193-4214-9125-34997f5fda8a,7층 공간 이용 안내,오피스,오피스,True
5218d5a4-2236-4421-8585-0efb49908474,헬스키핑룸(안마실) 운영,생활 지원,생활 지원,True
52188e60-f8c8-4428-9e27-a1c85a843085,온보딩 프로세스 안내,온보딩,온보딩,True
4ace761b-2a7a-4306-bdd5-d540944a980e,[IT] Slack 활용 안내,업무 지원,협업 방식,False
49ef0216-b596-4cd1-a006-37f80a1014f5,"[Windows] 구글밋 - 마이크, 카메라 사용불가 해결방법",업무 지원,ERROR,False
3f899df6-560b-4853-aadb-5052514bc640,캡스 지문(등록/삭제) 신청 방법,업무 지원,구성원을 위한 개인정보 처리방침,False
3cff2ccc-7f40-4b8e-af46-f619813eee94,원격근무,근무 제도,근무 제도,True
3a732a4d-033c-4bef-b849-a5c966aff386,"Daily/ , Weekly , Sync",협업 방식,협업 방식,True
35d8424d-d3be-4845-a1fb-88c3615f27ae,대출 이자 지원 안내,생활 지원,생활 지원,True
358a535c-1530-4e2b-96b2-6f7a845815c8,"소프트웨어(계정, 권한) 신청 방법",업무 지원,업무 지원,True
30797371-470a-4f4b-9bd9-e6dbb16ef862,퇴직 / 퇴사 (Offboarding / 오프보딩),오프보딩,오프보딩,True
2dd415d2-6b0c-4673-b093-992f81d07627,사원증 재발급 방법,업무 지원,ERROR,False
2aa9646c-6a25-47db-9177-32a51907e7fe,Onboarding 구성원 가이드 (문서),온보딩,온보딩,True
27e18fec-6059-4476-adc3-fd6c864d21f6,건강검진 안내,생활 지원,생활 지원,True
24727bd4-48d2-4fd2-9805-260791490581,Tea time w. 해남님,온보딩,ERROR,False
