category,title,page_content,is_augmented
구성원 여정,플렉스팀용 개인정보 처리방침,개인정보 처리방침 플렉스팀 구성원을 위한 개인정보 처리방침 v 13 플렉스팀 구성원을 위한 개인정보처리방침 v 12 플렉스팀 구성원을 위한 개인정보처리방침 v 11 플렉스팀을 위한 개인정보처리방침v 10 개인정보 처리방침 변경 안내 개인정보 처리방침 변경 안내 20240603 시행,FALSE
구성원 여정,퇴직 / 퇴사 (Offboarding / 오프보딩),함께 하는 것만큼 잘 헤어지는 것도 팀의 성장에 있어 매우 중요합니다 서로에게 준비되지 않은 일방적인 퇴사 통보는 잘 헤어지기 어렵습니다 의사 결정 과정에 서로가 참여하는 것이 중요합니다 퇴직 진행 원칙 먼저 구성원과 팀 양쪽 모두 퇴직으로 가지 않기 위해 노력하는 것을 전제로 합니다 서로 어떤 결론을 가지고 통보하지 않고 과정에 서로를 참여시킵니다 일방적인 통보는 서로에게 감정의 문제로 번질 수 있으므로 최대한 자제합니다 과정 속에서 서로의 문제를 터놓고 얘기하며 자연스럽게 팀 내에서 문제를 해결하는 것이 가장 중요합니다 이런 과정을 여러번 거쳤음에도 문제 해결이 되지 않아 서로가 헤어지는 것이 낫겠다고 판단이 들면 잘 헤어지기 위해 최선을 다합니다 상호간의 결정이 명확하다면 서로간의 입장 차이가 팀에 부정적인 흐름이 되지 않도록 최대한 빠르게 퇴직 프로세스를 진행합니다 구성원은 동료와 팀을 위해 팀은 그동안 고생한 구성원을 위해 신의성실에 입각하여 헤어지고 나서도 미래를 축복하며 서로를 배려합니다 퇴직 업무 프로세스 근무종료일은 이렇게 확정합니다 근무종료일은 회사에서 업무를 마무리하는 마지막 근무일을 의미합니다 근무종료일은 업무 인수 인계 범위를 고려해서 회사에서 결정합니다 Step 1 퇴사 면담 1차로 소속 리드와 면담을 진행합니다 2차로 People팀과 면담을 진행합니다 선택 3차로 플렉스팀 리드현재 장CEO 면담을 통해 퇴사를 최종 확정합니다 선택 Step 2 퇴사 행정 처리 퇴직일 확정 업무 인수인계 일정에 맞춰 소속 리드와 퇴직일을 확정합니다 이후 People 팀과 면담을 추가로 진행합니다 퇴직 안내 문서 작성 아래 내용에 대한 설명을 진행하고 날인합니다 퇴직 당월 급여 지급 시기 퇴직 급여 지급 시 포함 사항 퇴직금 대상 여부 4대보험 상실 신고일 정산 마감 후 정보를 받을 연락처 기재 서류 작성 사직원 작성 flex 워크플로우 작성 보안서약서 작성 오프라인 서류 작성 내용 확인 후 작성 경업금지확인서 작성 오프라인 서류 작성 내용 확인 후 작성 Step 3 장비 반납 및 근무 종료 Culture팀으로 지급 물품 반납 후 근무를 종료합니다 구성원 퇴사 시 수행 업무 필수 공통 계정 노드정리 1 Okta deactivate 영업일 기준 5일 간 유지 후 완전 삭제 기간 내 1차 조직장 주도 하 퇴사자 계정과 연결된 서비스 앱 연락처정보 변경 진행 1 GWS Okta rule 에 의해 자동 중지 1차 조직장에게 구글 드라이브 소유권 이전 1 Slack 프로필 개인정보 제거 후 비활성화 1 Workspace ONE or Jamf Pro MDM hub agent 삭제 1 NAC IP 할당 해제 및 노드 삭제 1 EPP EPP agent 삭제 1 ADT Caps 계정 삭제 Office 밖으로 나가는 시간에 맞게 삭제 1 복합기 복합기 계정 비활성화 1 카카오 비즈니스T 계정 삭제 1 관리 운영시트 내 이름 삭제 1 자리배치도 내 이름 삭제 자산 반납 프로세스 자산 반납 전 해야 할 일 지급자산 회수 Slack 프로필 사진 및 연락처 삭제 자산대장 대조 손망실 여부 확인 Mac 사용자인 경우 Apple ID 로그아웃 touch ID 제거 나의 Mac 찾기 해제 노트북 모니터 그 외 소모품 반납 법인카드 및 ID카드 반납 1 실물 카드 회수 1 플렉스 앱 비용 사용내역 제출 선택 신청에 의해 지급한 SaaS 계정 정리 github 1password jetBrains Adobe MS office 한컴독스 등 EOD,FALSE
구성원 여정,5W Onboarding Feedback Survey,Culture Team 목적 지난 5주 간의 플렉스팀 온보딩 여정을Spring Camp 리뷰해 보는 시간입니다 진행 내용 flex 할 일을 통해 안내드린 온보딩 서베이를 작성합니다 5W Onboarding Feedback Survey 안내 서베이 링크 FAQ,FALSE
구성원 여정,온보딩 프로세스 안내,Culture Team Synced Block 목적 플렉스팀의 온보딩은 총 12주간 합류 후 팀의 일하는 방법과 마인드셋 제도에 대한 적응과 이후 업무에서 온전한 역량을 발휘할 수 있도록 돕습니다 5주간의 Spring Camp 이후 7주간의 목표합의 및 리뷰 기간으로 구성되어 있으며 업무에 대한 온보딩은 각 챕터 팀에서 12주 기간동안 1on1 팀 Session 등을 통하여 개별적으로 병행하여 진행합니다 챕터 팀 별로 온보딩 프로그램이 상이하고 목표합의 등에 필요한 기간이 다르기 때문에 필요에 따라 타임라인을 변형하여 운영할 수 있습니다 5W Spring Camp 진행 안내 Day 1 Life Hack Orientation 온보딩 여정 소개 조직 구조 및 제도 계정 등록 및 장비 설치 안내 Day 2 우리팀의 미션 비전 OKR 얼라인먼트 및 히스토리 Why we do Day 3 우리팀에서 일하는 방법Core Value 8 Standards 마인드셋 How we do Day 5 신규구성원 Tea Time wCEO님 플렉스팀에서의 기대감과 바라는 점을 이야기 나누는 시간 Week 5 온보딩 서베이 Spring Camp 감상 나누기 및 회고 온보딩 로그를 기반으로 좋았던 것과 아쉬웠던 것에 대한 이야기 5 Week Onboarding Survey Month 1 Product Session 정보보안 세션 flex demo 세션 flex 제품에 대한 깊이있는 이해 및 업무 관련 정보보안 내용 세션 장표 폴더 7W 목표 합의리뷰 진행 안내 단위 조직 별 상이 1주차 목표 합의 2주차 6주차 목표 실행 및 상시 1 on 1 중간 리뷰 7주차 목표 리뷰 Job Level Review Sync FAQ,FALSE
구성원 여정,Onboarding 구성원 가이드 (문서),리드 팀 버디 플렉스팀과 함께한 시간 입사일 소속 이름 Guide 자료 수식유형string 수식값None 수식유형string 수식값None 수식유형string 수식값None 수식유형string 수식값None 구경일 수식유형string 수식값14일 시작20250825 Quality Platform Team 준식 김 구경일 수식유형string 수식값28일 시작20250811 Training Center 한지우 최선아 수식유형string 수식값28일 시작20250811 PP Services Team 김보람B 이명현 수식유형string 수식값35일 시작20250804 Platform Division 김양구 서해동 수식유형string 수식값35일 시작20250804 HRP Services Team 이효수 구경일 수식유형string 수식값35일 시작20250804 Quality Platform Team 이혜인 수식유형string 수식값42일 시작20250728 Culture Team 김효일 최선아 수식유형string 수식값56일 시작20250714 PP Services Team 김태량 수식유형string 수식값63일 시작20250707 Consulting Team 장수빈 서해동 수식유형string 수식값63일 시작20250707 HRP Services Team 김혜인 서해동 수식유형string 수식값63일 시작20250707 HRP Services Team 장지은 김태은 수식유형string 수식값63일 시작20250707 Platform Division 최지호 서해동 수식유형string 수식값70일 시작20250630 HRP Services Team 문소연 강정일 수식유형string 수식값77일 시작20250623 Data Analytics 최진혁 이윤선 이윤주 수식유형string 수식값77일 시작20250623 Relation Squad 김준영 최선아 수식유형string 수식값84일 시작20250616 PP Services Team 김나현 이도경 수식유형string 수식값84일 시작20250616 Customer Success Team 양은정 수식유형string 수식값91일 시작20250609 Consulting Team 이나경 수식유형string 수식값91일 시작20250609 Consulting Team 이예경 장CEO 수식유형string 수식값91일 시작20250609 Security Team 박근현 강정일 수식유형string 수식값105일 시작20250526 Data Analytics 김일재 이택규 수식유형string 수식값105일 시작20250526 Mobile Squad 박종상 수식유형string 수식값112일 시작20250519 Culture Team 김정춘 김태은 이명현 수식유형string 수식값119일 시작20250512 Platform Division 신정호 최종진 수식유형string 수식값140일 시작20250421 Payroll Partners Team 이명현 이성환 수식유형string 수식값140일 시작20250421 Training Center 김보라 최종진 수식유형string 수식값147일 시작20250414 Payroll Partners Team 임세화 박성완 수식유형string 수식값147일 시작20250414 Training Center 박수민 지무근 수식유형string 수식값147일 시작20250414 Training Center 이원국 반가희 수식유형string 수식값147일 시작20250414 Brand Marketing Team 김협 지무근 수식유형string 수식값154일 시작20250407 Training Center 강민혁 박성완 수식유형string 수식값154일 시작20250407 Training Center 김민정 김태은 수식유형string 수식값161일 시작20250331 Security Team 임인애 박성완 수식유형string 수식값161일 시작20250331 Training Center 조수현 채효진 수식유형string 수식값168일 시작20250324 HR Partners Team 양승혜 수식유형string 수식값168일 시작20250324 People Team 김진경 이명현 이성환 수식유형string 수식값175일 시작20250317 Training Center 전성윤 최종진 수식유형string 수식값188일 시작20250304 Payroll Partners Team 손혜령 이명현 수식유형string 수식값188일 시작20250304 Training Center 심문섭 박성완 수식유형string 수식값196일 시작20250224 Training Center 소재연 강정일 수식유형string 수식값203일 시작20250217 Data Analyst 채효진 수식유형string 수식값210일 시작20250210 HR Partners Team 차한백 이택규 수식유형string 수식값210일 시작20250210 Mobile Squad 이명현 수식유형string 수식값238일 시작20250113 Training Center 강한 최종진 수식유형string 수식값245일 시작20250106 Payroll Partners Team 변연주 김태은 수식유형string 수식값245일 시작20250106 Platform Division 김선 수식유형string 수식값245일 시작20250106 People Team 정나현 강선구 수식유형string 수식값245일 시작20250106 Data Platform Team 백정훈 지무근 수식유형string 수식값273일 시작20241209 Relation Tribe 채효진 수식유형string 수식값280일 시작20241202 HR Partners Team 이창희 수식유형string 수식값280일 시작20241202 Consulting Team 이정민 수식유형string 수식값None Consulting Team 강선구 수식유형string 수식값280일 시작20241202 Data Platform Team 강민웅 강선구 수식유형string 수식값None Data Platform Team 이도경 수식유형string 수식값287일 시작20241125 Customer Success Team 김수곤 강선구 수식유형string 수식값287일 시작20241125 Data Platform Team 김태은 수식유형string 수식값294일 시작20241118 Finance Tribe 최종진 수식유형string 수식값294일 시작20241118 Payroll Partners Team 안성연 수식유형string 수식값294일 시작20241118 Consulting Team 지무근 수식유형string 수식값308일 시작20241104 People Ops Tribe 권재호 구경일 수식유형string 수식값315일 시작20241028 Backend Platform Team 노영은 채효진 수식유형string 수식값315일 시작20241028 HR Partners Team 김희진 채효진 수식유형string 수식값315일 시작20241028 HR Partners Team 백한울안 민경록 수식유형string 수식값329일 시작20241014 Accounting Finance Team 남지선 이도경 수식유형string 수식값329일 시작20241014 Customer Success Team 김한나 채효진 수식유형string 수식값329일 시작20241014 HR Partners Team 서해동 최종진 수식유형string 수식값336일 시작20241007 Payroll Partners Team 전혜영 이명현 수식유형string 수식값336일 시작20241007 Finance Tribe 구경일 수식유형string 수식값336일 시작20241007 Cloud Platform Team 최영준 구경일 수식유형string 수식값None Cloud Platform Team 채효진 수식유형string 수식값350일 시작20240923 HR Partners Team 김나영 수식유형string 수식값378일 시작20240826 Culture Team 강주희 이도경 수식유형string 수식값378일 시작20240826 Customer Success Team 권오은 이택규 수식유형string 수식값399일 시작20240805 Mobile Team 소기현 박성완 수식유형string 수식값406일 시작20240729 Relation Tribe 정현욱 김태은 수식유형string 수식값413일 시작20240722 QA Team 조경선 김우근 수식유형string 수식값420일 시작20240715 Finance Tribe Expense Management Squad 수식유형string 수식값420일 시작20240715 People Ops Tribe Tracking Squad 김신영 최종진 수식유형string 수식값434일 시작20240701 Payroll Partners Team 홍유나 수식유형string 수식값434일 시작20240701 Brand Communication Team 송지현 박성천 수식유형string 수식값434일 시작20240701 Web Client Platform Team 이지우 김미진 수식유형string 수식값441일 시작20240624 HR Partners Team 윤송현 이도경 수식유형string 수식값455일 시작20240610 Customer Success Team 유지원 수식유형string 수식값462일 시작20240603 People eXperience Team 박성천 수식유형string 수식값462일 시작20240603 Web Client Platform Team 박준홍 김미진 수식유형string 수식값469일 시작20240527 HR Partner 엄효진 김우근 수식유형string 수식값469일 시작20240527 Finance Tribe 정선우 구경일 수식유형string 수식값476일 시작20240520 Cloud Platform Team 신동진 구경일 수식유형string 수식값489일 시작20240507 Backend Platform Team 김미진 수식유형string 수식값497일 시작20240429 flex Partners Team 수식유형string 수식값546일 시작20240311 Impact Tribe 윤진한 송호진 수식유형string 수식값567일 시작20240219 Growth Group 엄창섭 구경일 수식유형string 수식값830일 시작20230601 Cloud Platform Team 김성민 이명현 수식유형string 수식값735일 시작20230904 Impact Tribe BE Impact Tribe 김성훈 김희찬 수식유형string 수식값812일 시작20230619 Flow Squad 임준규 수식유형string 수식값705일 시작20231004 Lead Prospecting Team 최종진 수식유형string 수식값651일 시작20231127 Payroll Partners Team 박건남 최종진 수식유형string 수식값594일 시작20240123 Payroll Partners Team 강선하 수식유형string 수식값868일 시작20230424 Consulting Team 수식유형string 수식값819일 시작20230612 Review Squad 김초록 수식유형string 수식값749일 시작20230821 Payroll Squad 이준혁 정인지 수식유형string 수식값672일 시작20231106 Payroll Partners Team 최선아 윤지아 수식유형string 수식값830일 시작20230601 Lead Acquisition Prospecting Team 김희경 수식유형string 수식값573일 시작20240213 Lead Prospecting Team 수식유형string 수식값896일 시작20230327 People eXperience Team 신권철 수식유형string 수식값573일 시작20240213 Impact Tribe FE Impact Tribe 유상현 정인지 수식유형string 수식값770일 시작20230731 Payroll Partners Team 강정일 수식유형string 수식값721일 시작20230918 Data Team 수식유형string 수식값830일 시작20230601 PR Brand Team 김수민 수식유형string 수식값735일 시작20230904 Consulting Team 권민철 수식유형string 수식값819일 시작20230612 Flow Squad 박성천 수식유형string 수식값609일 시작20240108 Vision Tribe FE Auth Squad 이진혁 김미진 수식유형string 수식값705일 시작20231004 flex Partners Team 김나래 수식유형string 수식값924일 시작20230227 Payroll Partners Team 정인지 이택규 수식유형string 수식값567일 시작20240219 Mobile Team 이우석 신권철 수식유형string 수식값609일 시작20240108 Impact Tribe FE AI TF 홍석민 권우현 수식유형string 수식값721일 시작20230918 Consulting Team 전유연 수식유형string 수식값924일 시작20230227 Design Team 김우근 정인지 수식유형string 수식값742일 시작20230828 Payroll Partners Team 김찬미 수식유형string 수식값686일 시작20231023 Security Team 최종진 수식유형string 수식값742일 시작20230828 Payroll Partners Team 문채은 김상준 수식유형string 수식값763일 시작20230807 Mobile Squad 박민수 수식유형string 수식값805일 시작20230626 Lead Acquisition Prospecting Team 반가희 김영준 수식유형string 수식값705일 시작20231004 Value Tribe BE Tracking Squad 전우균 신동일 수식유형string 수식값742일 시작20230828 Customer Centric Team 김가영 권민철 수식유형string 수식값686일 시작20231023 Value Tribe BE Flow Squad 임형태 최종진 수식유형string 수식값595일 시작20240122 Payroll Partners Team 이명현 수식유형string 수식값812일 시작20230619 Flow Squad 김미진 수식유형string 수식값630일 시작20231218 flex Partners Team 한그림 이한결 수식유형string 수식값735일 시작20230904 Value Tribe BE Payroll Squad 김주원 신권철 수식유형string 수식값830일 시작20230601 Flow Squad 박성천 수식유형string 수식값651일 시작20231127 Customer Centric Team 나유라 최종진 수식유형string 수식값595일 시작20240122 Payroll Partners Team 전우람 수식유형string 수식값686일 시작20231023 Value Tribe FE Tracking Squad 장우현 박성완 수식유형string 수식값763일 시작20230807 Value Tribe 엄현태 수식유형string 수식값705일 시작20231004 Vision Tribe FE Glue Squad 박성천 수식유형string 수식값609일 시작20240108 Vision Tribe FE Flow Squad Value Tribe FE Core Squad 신권철 수식유형string 수식값777일 시작20230724 Flow Squad 이해나,FALSE
구성원 여정,"Product , 세션,",Culture Team 목적 신규 구성원에게 그간 Product 조직의 히스토리와 역할 및 구조 일하는 방식을 소개하는 시간 참여 방법 비정기로 진행 중이며 입사 시기 등에 따라 최소 월 1회 각각 진행함 일반적으로 입사 4주차에 진행 프로그램 목표 Product Session1hr Product관점에서 제품의 히스토리와 조직의 변화에 대해 이해합니다 w 김태은 flex 속도와 안정성에 대한 트레이드 오프를 어떻게 해왔는지 다양한 이벤트와 문제를 마주하고 성공과 실패에서의 배움과 조직의 변화 FAQ,FALSE
구성원 여정,Tea time w. CEO님,Culture 목적 입사 후 4일 플렉스팀의 감독 CEO님과 처음 만나는 시간으로 신규 구성원이 입사 전 기대와 입사 후 실제 현실과의 Gap을 파악하고 빠르게 개선하기 위해 CEO님과 함께 티타임을 하며 소통하는 시간 참여 방법 입사 후 첫번째 금요일 오후에 진행되며 신규 구성원에게 캘린더를 통해 안내함 온보딩 상황에 따라 12주 연기될 수 있어요 프로그램 목표 입사 전 기대와 실제 현실의 차이로 문제가 있다면 어떻게 해결이 필요한지 솔직하게 이야기를 나누고 빠르게 개선합니다 스프링캠프 기간 동안 플렉스팀에서 일을 더 잘하기 위해서 나는 어떻게 해야 할지 이야기를 나눕니다 플렉스팀과 구성원이 가지고 있는 신뢰함께 멀리 가는 팀 커리어를 끝내기 위해 일하는 팀에 대해 이야기하고 현재 스테이지에서 어떻게 일해야 앞으로 어떻게 바뀔 수 있는지 이야기를 나눕니다 FAQ Q 사전에 준비해야 될 것이 있나요 A 1입사 전 기대했던 것 2입사 후 기대와 같은 것과 다른 것 3기대와 달라 조정이 필요하거나 개선이 필요한 것 4 해결해야 할 문제라면 어떤 솔루션이 필요한지에 대해 미리 고민해보고 참석해주세요 간단하게 작성하실 수 있도록 서베이로도 안내드릴게요 당일 티타임 시간에 맞춰 코칭룸7층으로 드실 음료를 가지고 와주세요,FALSE
구성원 여정,리크루팅 식사 비용 지원,People 리크루팅 식사 비용 지원 리크루팅 채용 지원 목적으로 외부 후보자동료지인 등와 식사를 하실 경우 1인당 3만원까지의 비용을 지원하고 있습니다 신청 방법 워크플로우를 통해 작성을 해주세요 당일 식사 전 반드시 divisionpeopleandculture 채널에 공유를 부탁드려요 ex 오늘 OO포지션 1명과 리크루팅 목적의 식사 비용 사용 예정입니다 맛있는 식사와 팀에 대한 셀링을 진행해주신 후 제공된 개인 법인카드로 결제하시면 됩니다 flex앱에서 리크루팅 식대로 선택해주시면 됩니다 주의 사항 식사 비용은 참여자 1인당 30000원까지 지원됩니다 반드시 워크플로우 작성 및 식사 당일 divisionpeopleandculture 채널에 공유 후 사용해주세요 제공된 개인 법인 카드로 결제 부탁드립니다 여러명과 식사하는 경우 복수로 적어주셔도 괜찮습니다 FAQ,FALSE
구성원 여정,flex Mate (사내추천),People flex Mate란 플렉스팀은 동료를 적극적으로 추천할 수 있는 건강한 팀을 함께 만듭니다 우리팀의 사내추천은 단순한 사람을 추천하는 것이 아닌 추천한 동료와 팀이 함께 오래 갈 수 있도록 메이트로서 리텐션을 책임진다는 의미의 일환으로 진행되고 있으며 이에 대한 메이트 인센티브를 지급합니다 동료의 메이트로서 빠른 적응과 건강한 리텐션을 함께 도우며 함께 멀리 갈 수 있는 지속 가능한 팀을 다 같이 만들어 보아요 내가 메이트로서 오래 함께 하고 싶은 동료를 추천해주세요 추천의 기준은 내가 팀과 오랜 기간 함께 하고 싶은 동료로 책임지고 채용 프로세스 진행을 위해 이력서를 전달 주시는 것입니다 우리팀의 모든 포지션은 항상 열려 있습니다 채용페이지에 오픈된 포지션 뿐 아니라 팀에 관심 있는 분이 있다면 적극적으로 알려주세요 혹시 협업 경험이 없거나 이직 의사를 모르지만 팀에 잘 맞을 분으로 생각이 되어 연락해보고 싶은 분이 있나요 shaking the tree 워크플로우를 통해 정보를 알려주시면 People 팀에서 연락하고 follow up 해보겠습니다 신청 방법 flex mate사내 추천은 flex 워크플로우를 통해 진행되고 있습니다 flex mate 워크플로우를 통해 People팀에 이력서를 공유해주세요 혹은 채용페이지를 통해 이력서를 제출하도록 안내 부탁드려요 지원경로에서 사내추천 을 선택 전달사항에 추천인 이름 작성 기타 포지션별 문의사항은 직무별 People Manager를 참고해서 문의 부탁드립니다 linktopage is not supported flex mate incentive 플렉스 메이트 인센티브는 메이트로서 추천한 동료의 리텐션의 기여에 대한 보상으로 지급됩니다 내가 추천한 동료가 입사할 경우 동료의 첫 급여일에 메이트에게 인센티브 200만원1년차을 선지급합니다 주의 사항 단순 미팅을 요청하는 경우 혹은 TA Part가 소싱하여 이력서를 받은 후보자 Shaking the tree 추천건 대해서는 flex mate Incentive 인정이 되지 않아요 flex Mate는 후보자의 이력서가 포함된 워크플로우를 제출하는 경우에만 해당되는 점 유의해주세요 추천한 동료가 첫 급여일 기준 1년 미만으로 근속하는 경우 1년차 인센티브 전액을 반환해야 해요 팀 혹은 트라이브 리드Lead가 같은 직무의 동료를 추천한 경우 메이트 인센티브가 지급되지 않아요 예시 2022년 8월 22일 입사자 2022년 9월 5일 1년차 메이트 인센티브 200만원 선지급 2023년 9월 4일 퇴사 시 1년차 메이트 인센티브 전액 반환 FAQ,FALSE
구성원 여정,Recruiting Process (채용 프로세스),People 채용 프로세스 안내 플렉스팀의 채용 프로세스는 함께 멀리갈 수 있는 소수정예 구성원을 모셔오는 과정으로 비즈니스와 기업의 성장단계에 맞게 필요한 인재를 채용하여 비즈니스 성장을 견인하는 동시에 기존 구성원에게 긍정적인 자극을 줄 수 있는 동료 분을 채용하기 위해 아래와 같이 프로세스를 구성합니다 전형안내 기본 전형 단계는 아래 5단계를 따릅니다 서류전형 Preinterview TechJob Interview Peer Interview Fit Interview 직무에 따라 과제전형 코딩테스트 전화인터뷰 롤플레잉 등 다양한 전형이 추가되기도 합니다 플렉스팀 Interview Guide 아래 페이지에서 각 목적과 인터뷰어 구성 상세 내용을 참고하실 수 있습니다 플렉스팀 Interview Guide Job Description 및 안내 아래 페이지에서 담당 TA를 확인하실 수 있습니다 linktopage is not supported FAQ,FALSE
